cds,adcod,cdscod,media_voto,genere,etaimm,citttipo,rn
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M006,E1802M,29.375,F,19,Italiana,8
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1801M042,E1802M,29.5,F,19,Italiana,5
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1801M042,E1802M,29.5,M,19,Italiana,6
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M006,E1802M,29.5,F,19,Italiana,6
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M026,E1802M,29.5,F,19,Italiana,7
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M007,E1802M,29.6666666666667,M,20,Italiana,4
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M007,E1802M,29.6666666666667,M,21,Italiana,5
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M026,E1802M,29.6666666666667,F,19,Italiana,4
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M006,E1802M,29.7142857142857,M,19,Italiana,2
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M120,E1802M,29.7142857142857,M,19,Italiana,3
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1801M043,E1802M,29.8333333333333,F,19,Italiana,3
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M006,E1802M,30.0,F,25.5,Italiana,1
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M007,E1802M,30.0,F,20,Italiana,2
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,E1802M131,E1802M,30.0,M,25.5,Italiana,1
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1801M035,E1803M,29.0,F,19,Italiana,9
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M017,E1803M,29.0,M,19,Italiana,9
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M033,E1803M,29.0,F,19,Italiana,10
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M037,E1803M,29.0,M,18,Italiana,10
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M048,E1803M,29.0,F,25.5,Extra Comunitaria,8
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M004,E1803M,29.1428571428571,F,19,Italiana,7
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M037,E1803M,29.1428571428571,M,22,Italiana,8
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M037,E1803M,29.25,M,20,Italiana,7
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M037,E1803M,29.2857142857143,M,19,Italiana,6
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M048,E1803M,29.2857142857143,F,19,Extra Comunitaria,6
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M017,E1803M,29.3333333333333,M,19,Italiana,5
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M037,E1803M,29.3333333333333,F,19,Italiana,5
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1801M035,E1803M,29.5,F,25.5,Italiana,4
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M033,E1803M,29.5,F,19,Italiana,3
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M049,E1803M,29.5,M,20,Italiana,3
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M052,E1803M,29.5,M,19,Italiana,4
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1801M042,E1803M,29.6666666666667,M,19,Italiana,2
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1802M122,E1803M,30.0,F,21,Italiana,2
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M017,E1803M,30.0,F,19,Italiana,1
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",E1803M049,E1803M,30.0,M,19,Extra Comunitaria,1
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R002,E1901R,30.0,F,19,Italiana,10
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R002,E1901R,30.0,F,20,Italiana,1
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R002,E1901R,30.0,F,25.5,Italiana,5
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R002,E1901R,30.0,F,28,Italiana,8
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R002,E1901R,30.0,M,25.5,Italiana,2
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R002,E1901R,30.0,M,25.5,Italiana,4
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R002,E1901R,30.0,M,25.5,Italiana,10
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R002,E1901R,30.0,M,28,Italiana,6
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R004,E1901R,30.0,M,25.5,Italiana,3
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R004,E1901R,30.0,M,28,Italiana,1
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R007,E1901R,30.0,F,25.5,Italiana,9
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R007,E1901R,30.0,M,28,Italiana,5
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R009,E1901R,30.0,F,28,Italiana,2
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R021,E1901R,30.0,F,19,Italiana,6
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R034,E1901R,30.0,M,25.5,Italiana,8
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R081,E1901R,30.0,F,21,Italiana,4
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R082,E1901R,30.0,F,22,Italiana,3
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R087,E1901R,30.0,M,21,Italiana,9
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R096,E1901R,30.0,F,21,Italiana,7
[E1901R] SCIENZE DELL'EDUCAZIONE,E1901R107,E1901R,30.0,M,28,Italiana,7
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R001,E2001R,29.0,M,19,Italiana,9
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R002,E2001R,29.0,M,25.5,Italiana,8
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R005,E2001R,29.0,M,20,Italiana,10
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.2,F,19,Italiana,10
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.2,F,25.5,Italiana,9
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.3333333333333,F,19,Italiana,7
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.3333333333333,F,19,Italiana,8
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R001,E2001R,29.4285714285714,M,25.5,Italiana,7
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.5,F,20,Extra Comunitaria,6
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.5,M,19,Italiana,5
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.5,M,19,Italiana,6
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R004,E2001R,29.6,M,20,Italiana,4
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.6666666666667,F,19,Italiana,5
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R007,E2001R,29.6666666666667,M,21,Italiana,3
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R004,E2001R,29.75,F,19,Italiana,4
